cpu_emissions,gpu_emissions,epochs
1.8294832115786819,3.831316101585743,20.0
1.8009819374610694,3.831559030697693,19.0
1.7621345141843452,3.8434522632780594,18.0
1.7962714794137205,3.8374210328550853,17.0
1.84831721043723,3.8183381296393755,16.0
1.7905023935845115,3.8314488578177226,15.0
1.7325428318150913,3.842955522918828,14.0
1.7472425308388446,3.835540223349535,13.0
1.6879048444667535,3.8599865715901744,12.0
1.7542141958360524,3.8325064443616785,11.0
1.7419373345201243,3.841942524090006,10.0
1.469973986886374,3.916761607254869,9.0
1.5266688111725155,3.8914057148830783,8.0
1.591929354563068,3.879311369518369,7.0
1.4843309568775578,3.9014380244259033,6.0
1.4613577089258223,3.918418613750886,5.0
1.476747847905103,3.90905534772447,4.0
1.5313372545427453,3.8889260953627116,3.0
1.4818291490965891,3.9149528838630108,2.0
1.4945970788414624,3.933720654950074,1.0
