cpu_emissions,gpu_emissions,epochs
0.3754032929624314,1.122075373753605,20.0
0.3752863953687345,1.1228849649421075,19.0
0.3758297643861813,1.124189513580047,18.0
0.3752367351049555,1.122287543100375,17.0
0.37519787713172853,1.1237182315739842,16.0
0.3742741185701516,1.122092586440188,15.0
0.37521502017038566,1.1226753019594466,14.0
0.3750674028669995,1.1217509887504282,13.0
0.37498811551394085,1.1220211889697556,12.0
0.37611262518553357,1.1225131548925025,11.0
0.3762198271099636,1.1240455960082674,10.0
0.3756376831324125,1.1219403893122772,9.0
0.3749217173552727,1.1225522735538314,8.0
0.37503525760245415,1.1230270382646452,7.0
0.3747076913098728,1.1219737784538144,6.0
0.37574922180400244,1.1224944983376255,5.0
0.3737464306562449,1.1191652992520265,4.0
0.37317118591887755,1.1169923325954132,3.0
0.3738263266620367,1.1154452655287457,2.0
0.39816638308229013,1.136406196120519,1.0
